symbol,announce_time,session,analyst_surprise,source
NVDA,2021-02-24 16:22:27,amc,,sec_8k_2.02
ORCL,2021-03-10 16:11:36,amc,,sec_8k_2.02
JPM,2021-04-14 06:45:37,bmo,,sec_8k_2.02
GS,2021-04-14 07:33:40,bmo,,sec_8k_2.02
BAC,2021-04-15 06:17:59,bmo,,sec_8k_2.02
KO,2021-04-19 07:00:01,bmo,,sec_8k_2.02
PG,2021-04-20 07:05:58,bmo,,sec_8k_2.02
JNJ,2021-04-20 08:02:01,bmo,,sec_8k_2.02
INTC,2021-04-22 12:05:36,intraday,,sec_8k_2.02
GOOGL,2021-04-27 16:01:33,amc,,sec_8k_2.02
MSFT,2021-04-27 16:04:57,amc,,sec_8k_2.02
META,2021-04-28 16:09:19,amc,,sec_8k_2.02
AAPL,2021-04-28 16:30:33,amc,,sec_8k_2.02
AMZN,2021-04-29 16:31:31,amc,,sec_8k_2.02
CVX,2021-04-30 06:33:57,bmo,,sec_8k_2.02
PFE,2021-05-04 08:15:30,bmo,,sec_8k_2.02
HD,2021-05-18 06:12:36,bmo,,sec_8k_2.02
WMT,2021-05-18 06:57:51,bmo,,sec_8k_2.02
CSCO,2021-05-19 16:14:04,amc,,sec_8k_2.02
NVDA,2021-05-26 16:20:35,amc,,sec_8k_2.02
ORCL,2021-06-15 16:16:07,amc,,sec_8k_2.02
JPM,2021-07-13 06:45:46,bmo,,sec_8k_2.02
GS,2021-07-13 07:37:10,bmo,,sec_8k_2.02
BAC,2021-07-14 06:48:51,bmo,,sec_8k_2.02
KO,2021-07-21 07:00:37,bmo,,sec_8k_2.02
JNJ,2021-07-21 08:00:52,bmo,,sec_8k_2.02
INTC,2021-07-22 12:05:35,intraday,,sec_8k_2.02
AAPL,2021-07-27 16:35:44,amc,,sec_8k_2.02
GOOGL,2021-07-27 16:36:42,amc,,sec_8k_2.02
MSFT,2021-07-27 16:41:19,amc,,sec_8k_2.02
PFE,2021-07-28 08:04:28,bmo,,sec_8k_2.02
META,2021-07-28 16:08:06,amc,,sec_8k_2.02
AMZN,2021-07-29 16:34:52,amc,,sec_8k_2.02
CVX,2021-07-30 06:02:00,bmo,,sec_8k_2.02
PG,2021-07-30 07:07:42,bmo,,sec_8k_2.02
HD,2021-08-17 06:58:06,bmo,,sec_8k_2.02
WMT,2021-08-17 06:58:39,bmo,,sec_8k_2.02
CSCO,2021-08-18 16:10:56,amc,,sec_8k_2.02
NVDA,2021-08-18 16:21:07,amc,,sec_8k_2.02
ORCL,2021-09-13 16:15:47,amc,,sec_8k_2.02
JPM,2021-10-13 06:45:50,bmo,,sec_8k_2.02
BAC,2021-10-14 06:46:02,bmo,,sec_8k_2.02
GS,2021-10-15 08:34:11,bmo,,sec_8k_2.02
PG,2021-10-19 07:06:32,bmo,,sec_8k_2.02
JNJ,2021-10-19 08:01:28,bmo,,sec_8k_2.02
INTC,2021-10-21 12:09:46,intraday,,sec_8k_2.02
META,2021-10-25 16:08:12,amc,,sec_8k_2.02
GOOGL,2021-10-26 16:01:30,amc,,sec_8k_2.02
MSFT,2021-10-26 16:04:14,amc,,sec_8k_2.02
KO,2021-10-27 06:58:06,bmo,,sec_8k_2.02
AMZN,2021-10-28 16:07:09,amc,,sec_8k_2.02
AAPL,2021-10-28 16:30:23,amc,,sec_8k_2.02
CVX,2021-10-29 06:02:25,bmo,,sec_8k_2.02
PFE,2021-11-02 08:25:52,bmo,,sec_8k_2.02
HD,2021-11-16 06:09:36,bmo,,sec_8k_2.02
WMT,2021-11-16 07:01:11,bmo,,sec_8k_2.02
CSCO,2021-11-17 16:08:02,amc,,sec_8k_2.02
NVDA,2021-11-17 16:20:59,amc,,sec_8k_2.02
ORCL,2021-12-09 16:22:05,amc,,sec_8k_2.02
JPM,2022-01-14 06:45:48,bmo,,sec_8k_2.02
GS,2022-01-18 07:34:07,bmo,,sec_8k_2.02
BAC,2022-01-19 06:47:02,bmo,,sec_8k_2.02
PG,2022-01-19 07:02:06,bmo,,sec_8k_2.02
JNJ,2022-01-25 08:00:34,bmo,,sec_8k_2.02
MSFT,2022-01-25 16:03:05,amc,,sec_8k_2.02
INTC,2022-01-26 11:08:32,intraday,,sec_8k_2.02
AAPL,2022-01-27 16:30:36,amc,,sec_8k_2.02
CVX,2022-01-28 06:47:14,bmo,,sec_8k_2.02
GOOGL,2022-02-01 16:01:29,amc,,sec_8k_2.02
META,2022-02-02 16:08:34,amc,,sec_8k_2.02
AMZN,2022-02-03 16:11:33,amc,,sec_8k_2.02
PFE,2022-02-08 08:53:53,bmo,,sec_8k_2.02
KO,2022-02-10 06:57:42,bmo,,sec_8k_2.02
CSCO,2022-02-16 16:16:10,amc,,sec_8k_2.02
NVDA,2022-02-16 16:21:16,amc,,sec_8k_2.02
WMT,2022-02-17 07:01:12,bmo,,sec_8k_2.02
